Validator,epoch,earned
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,88,356.5665939
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,89,356.6657254
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,90,355.3493752
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,91,357.7886586
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,92,361.7063226
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,93,361.6619583
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,94,362.6024465
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,95,362.4872266
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,96,361.9122946
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,97,362.4486463
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,98,365.1777737
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,99,366.9896319
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,100,367.4002291
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,101,368.5512999
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,102,368.84551
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,103,371.1196907
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,104,370.1542159
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,105,374.4293528
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,106,367.9959449
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,107,355.5608792
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,108,355.5550707
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,109,355.6091208
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,110,319.9658214
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,111,319.8616434
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,112,319.8629039
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,113,319.8508771
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,114,319.8236277
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,115,319.831529
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,116,319.8069601
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,117,319.8182563
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,118,319.8744846
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,119,319.885646
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,120,318.4996743
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,121,319.9683481
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,122,319.9977201
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,123,319.9362112
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,124,318.6274332
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,125,318.5870449
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,126,320.0056109
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,127,320.131918
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,128,320.378419
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,129,320.3938652
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,130,320.2017582
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,131,320.1773341
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,132,320.1329157
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,133,320.0938481
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,134,320.0441882
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,135,320.0248315
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,136,320.2547369
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,137,320.3964905
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,138,320.177986
0xefa5f0435f230579dc95f219a1a8929f91b98cba727d7c1de8b10738be431ade,139,320.354592
,total earned,43390.79328
